,Week,Team Name,ScoredPoints,FirstDowns,PassY,RushY,TurnoversAllowed,FirstAllowed,YardsAllowed,PassYardsAllowed,RushingYardsAllowed,Turnovers
147,12,Jets,34.0,21.0,313.0,88.0,1.0,10.0,208.0,140.0,68.0,2.0
148,13,Jets,6.0,15.0,209.0,62.0,,18.0,277.0,233.0,44.0,
149,14,Jets,22.0,22.0,262.0,112.0,1.0,22.0,362.0,240.0,122.0,1.0
150,15,Jets,21.0,13.0,207.0,103.0,2.0,23.0,430.0,212.0,218.0,
151,16,Jets,16.0,14.0,174.0,85.0,1.0,16.0,260.0,185.0,75.0,2.0
152,17,Jets,13.0,18.0,185.0,86.0,1.0,17.0,309.0,236.0,73.0,3.0
153,1,Saints,30.0,25.0,362.0,148.0,1.0,22.0,414.0,234.0,180.0,1.0
154,2,Saints,9.0,15.0,187.0,57.0,1.0,20.0,380.0,265.0,115.0,1.0
155,3,Saints,33.0,15.0,177.0,88.0,1.0,26.0,514.0,406.0,108.0,1.0
156,4,Saints,12.0,18.0,149.0,117.0,1.0,15.0,257.0,212.0,45.0,3.0
157,5,Saints,31.0,25.0,345.0,112.0,1.0,19.0,252.0,158.0,94.0,
158,6,Saints,13.0,18.0,222.0,104.0,,11.0,226.0,151.0,75.0,1.0
159,7,Saints,36.0,24.0,273.0,151.0,,16.0,252.0,235.0,17.0,2.0
160,8,Saints,31.0,28.0,373.0,137.0,1.0,10.0,237.0,197.0,40.0,
161,9,Saints,,,,,,,,,,
162,10,Saints,9.0,18.0,258.0,52.0,,24.0,317.0,174.0,143.0,1.0
163,11,Saints,34.0,21.0,219.0,109.0,,21.0,334.0,298.0,36.0,4.0
164,12,Saints,34.0,23.0,300.0,118.0,1.0,26.0,351.0,230.0,121.0,1.0
165,13,Saints,26.0,14.0,184.0,95.0,,27.0,348.0,259.0,89.0,3.0
166,14,Saints,46.0,28.0,349.0,116.0,1.0,25.0,516.0,354.0,162.0,1.0
167,15,Saints,34.0,27.0,307.0,117.0,,16.0,205.0,159.0,46.0,
168,16,Saints,38.0,23.0,275.0,102.0,,17.0,397.0,248.0,149.0,1.0
169,17,Saints,42.0,25.0,264.0,115.0,,16.0,329.0,288.0,41.0,3.0
170,1,Panthers,27.0,21.0,216.0,127.0,3.0,22.0,349.0,183.0,166.0,1.0
171,2,Panthers,14.0,20.0,313.0,39.0,1.0,16.0,289.0,189.0,100.0,
172,3,Panthers,38.0,21.0,240.0,173.0,1.0,21.0,248.0,127.0,121.0,2.0
